---------------Average run time 20 times(milliseconds)---------------
Array Size  | BubbleSort | SelectionSort | InsertionSort  | Mergesort | QuickSort  | HeapSort
100         | 0.244      | 0.180         | 0.111          | 0.083     | 0.093      | 0.654   
1000        | 1.159      | 0.697         | 0.158          | 0.161     | 0.096      | 0.554   
5000        | 19.890     | 6.008         | 1.907          | 0.615     | 0.379      | 1.271   
7000        | 40.795     | 11.096        | 3.455          | 0.704     | 0.545      | 1.383   
10000       | 85.695     | 19.171        | 5.683          | 0.845     | 0.625      | 2.051   
25000       | 636.567    | 115.425       | 34.523         | 2.365     | 1.679      | 5.838   
50000       | 2735.580   | 457.016       | 138.837        | 4.622     | 3.569      | 13.212  
75000       | 6305.570   | 1022.784      | 314.655        | 6.385     | 5.347      | 20.829  
100000      | 11368.333  | 1836.709      | 561.055        | 9.252     | 7.221      | 29.654  
